decoder,shot,converged,iterations,legs,successful_legs,selected_weight,candidate_weights,sampled_error_weight,syndrome_weight
relay_s3_paper_interval,26,1,9,3,3,27.808789518682186,"[27.808789518682186, 27.808789518682186, 27.808789518682186]",8,20
relay_s3_paper_interval,27,1,8,3,3,27.808789518682186,"[27.808789518682186, 27.808789518682186, 27.808789518682186]",8,22
relay_s3_paper_interval,28,1,29,3,3,34.76098689835273,"[34.76098689835273, 34.76098689835273, 34.76098689835273]",10,24
relay_s3_paper_interval,29,1,59,3,3,52.1414803475291,"[52.1414803475291, 52.1414803475291, 52.1414803475291]",15,41
relay_s3_paper_interval,30,1,12,3,3,45.18928296785855,"[45.18928296785855, 45.18928296785855, 45.18928296785855]",13,31
relay_s3_paper_interval,31,1,8,3,3,34.76098689835273,"[34.76098689835273, 34.76098689835273, 34.76098689835273]",10,28
relay_s3_paper_interval,32,1,14,3,3,34.76098689835273,"[34.76098689835273, 34.76098689835273, 34.76098689835273]",10,28
relay_s3_paper_interval,33,1,8,3,3,31.284888208517458,"[31.284888208517458, 31.284888208517458, 31.284888208517458]",9,23
relay_s3_paper_interval,34,1,8,3,3,20.85659213901164,"[20.85659213901164, 20.85659213901164, 20.85659213901164]",6,18
relay_s3_paper_interval,35,1,26,3,3,45.18928296785855,"[45.18928296785855, 45.18928296785855, 45.18928296785855]",13,35
relay_s3_paper_interval,36,1,34,3,3,20.85659213901164,"[20.85659213901164, 20.85659213901164, 20.85659213901164]",6,14
relay_s3_paper_interval,37,1,74,3,3,59.09367772719965,"[59.09367772719965, 59.09367772719965, 59.09367772719965]",17,45
relay_s3_paper_interval,38,1,13,3,3,34.76098689835273,"[34.76098689835273, 34.76098689835273, 34.76098689835273]",10,24
relay_s3_paper_interval,39,1,5,3,3,10.42829606950582,"[10.42829606950582, 10.42829606950582, 10.42829606950582]",3,7
relay_s3_paper_interval,40,1,6,3,3,13.904394759341093,"[13.904394759341093, 13.904394759341093, 13.904394759341093]",4,12
relay_s3_paper_interval,41,1,9,3,3,31.284888208517458,"[31.284888208517458, 31.284888208517458, 31.284888208517458]",9,23
relay_s3_paper_interval,42,1,70,3,3,45.189282967858546,"[45.18928296785855, 45.18928296785855, 45.189282967858546]",13,25
relay_s3_paper_interval,43,1,11,3,3,45.18928296785855,"[45.18928296785855, 45.18928296785855, 45.18928296785855]",13,33
relay_s3_paper_interval,44,1,18,3,3,45.18928296785855,"[45.18928296785855, 45.18928296785855, 45.18928296785855]",13,33
relay_s3_paper_interval,45,1,22,3,3,27.808789518682186,"[27.808789518682186, 27.808789518682186, 27.808789518682186]",8,24
relay_s3_paper_interval,46,1,92,3,3,45.18928296785855,"[45.18928296785855, 45.18928296785855, 45.18928296785855]",13,25
relay_s3_paper_interval,47,1,37,3,3,52.1414803475291,"[52.1414803475291, 52.1414803475291, 52.1414803475291]",15,39
relay_s3_paper_interval,48,1,6,3,3,17.380493449176367,"[17.380493449176367, 17.380493449176367, 17.380493449176367]",5,15
relay_s3_paper_interval,49,1,53,3,3,24.332690828846914,"[24.332690828846914, 24.332690828846914, 24.332690828846914]",7,15
relay_s3_paper_interval,50,1,48,3,3,38.23708558818801,"[38.23708558818801, 38.23708558818801, 38.23708558818801]",11,31
