observation_type,stratum,target,stagnation_threshold,eligible,positives,probability,tp,fp,tn,fn,precision,recall,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
iteration,outcome=one_leg_success,2,20,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,2,40,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,2,60,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,2,80,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,2,120,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,2,180,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,2,240,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,3,10,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,3,20,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,3,40,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,3,60,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,3,80,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,3,120,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,3,180,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,3,240,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,4,10,3500,0,0.0,0,398,3102,0,0.0,,0.8862857142857142,0.11371428571428571,,
iteration,outcome=one_leg_success,4,20,3500,0,0.0,0,97,3403,0,0.0,,0.9722857142857143,0.027714285714285716,,
iteration,outcome=one_leg_success,4,40,3500,0,0.0,0,0,3500,0,,,1.0,0.0,,
iteration,outcome=one_leg_success,4,60,3500,0,0.0,0,0,3500,0,,,1.0,0.0,,
iteration,outcome=one_leg_success,4,80,3500,0,0.0,0,0,3500,0,,,1.0,0.0,,
iteration,outcome=one_leg_success,4,120,3500,0,0.0,0,0,3500,0,,,1.0,0.0,,
iteration,outcome=one_leg_success,4,180,3500,0,0.0,0,0,3500,0,,,1.0,0.0,,
iteration,outcome=one_leg_success,4,240,3500,0,0.0,0,0,3500,0,,,1.0,0.0,,
iteration,outcome=multi_leg_success,1,10,13000,6800,0.5230769230769231,5444,3726,2474,1356,0.5936750272628135,0.8005882352941176,0.39903225806451614,0.6009677419354839,0.19941176470588234,0.5998102466793169
iteration,outcome=multi_leg_success,1,20,13000,6800,0.5230769230769231,4993,3015,3185,1807,0.6235014985014985,0.7342647058823529,0.5137096774193548,0.48629032258064514,0.26573529411764707,0.6239871916508539
iteration,outcome=multi_leg_success,1,40,13000,6800,0.5230769230769231,4281,2236,3964,2519,0.6568973454043271,0.6295588235294117,0.6393548387096775,0.3606451612903226,0.3704411764705882,0.6344568311195447
