configuration,policy,state_percentile,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,correction_hamming_distance,iterations,relay_legs,relay_legs_agree_with_float,edge_saturation,state_saturation,guard_saturation,state_deliberately_clipped,state_clip_candidates,state_nonzero_to_zero,state_value_count,edge_nonzero_to_zero,edge_value_count,edge_exponent_min,edge_exponent_max,state_exponent_min,state_exponent_max,threshold_bucket_equal,threshold_bucket_above
balanced,B_p99p9,99.9,42,1,1,1,37,432,7,0,0,0,0,58317,58537728,1793652,58537728,391320,338100480,0,9,0,9,1038654,6154
balanced,B_p99p9,99.9,43,1,1,1,23,138,2,0,0,0,0,17770,18699552,3659865,18699552,391320,108004320,0,32,0,32,392759,678
balanced,B_p99p9,99.9,44,1,1,1,33,173,3,0,0,0,0,23246,23442192,1832517,23442192,391320,135396720,0,12,0,11,362555,2529
balanced,B_p99p9,99.9,45,1,1,1,10,17,1,1,0,0,0,2148,2303568,96,2303568,0,13304880,0,2,0,1,136098,234
balanced,B_p99p9,99.9,46,1,1,1,36,223,4,0,0,0,0,29187,30217392,2626226,30217392,391320,174528720,0,26,0,26,499825,1169
balanced,B_p99p9,99.9,47,1,1,1,26,177,3,0,0,0,0,23825,23984208,154461,23984208,391320,138527280,0,5,0,5,404600,1751
balanced,B_p99p9,99.9,48,1,1,1,39,224,4,0,0,0,0,29288,30352896,2694127,30352896,391320,175311360,0,25,0,25,678914,3401
balanced,B_p99p9,99.9,49,1,1,1,35,280,5,0,0,0,0,36713,37941120,2850954,37941120,391320,219139200,0,27,0,27,823810,3129
balanced,B_p99p9,99.9,50,1,1,1,40,110,2,0,0,0,0,14661,14905440,1187033,14905440,391320,86090400,0,12,0,11,314819,1744
balanced,B_p99p9,99.9,51,1,1,1,9,17,1,1,0,0,0,2153,2303568,117,2303568,0,13304880,0,1,0,1,113800,209
balanced,B_p99p9,99.9,52,1,1,1,26,255,4,0,0,0,0,32911,34553520,3897526,34553520,391320,199573200,0,32,0,32,730899,2508
balanced,B_p99p9,99.9,53,1,1,1,49,229,4,0,0,0,0,29499,31030416,2691398,31030416,391320,179224560,0,26,0,26,535554,2116
balanced,B_p99p9,99.9,54,1,1,1,34,115,2,0,0,0,0,15304,15582960,1203823,15582960,391320,90003600,0,12,0,12,258321,1811
balanced,B_p99p9,99.9,55,1,1,1,43,132,2,0,0,0,0,17066,17886528,3413419,17886528,391320,103308480,0,30,0,30,479029,1023
balanced,B_p99p9,99.9,56,1,1,1,23,132,2,0,0,0,0,17121,17886528,3536290,17886528,391320,103308480,0,31,0,31,424258,843
balanced,B_p99p9,99.9,57,1,1,1,29,135,2,0,0,0,0,16647,18293040,3667368,18293040,391320,105656400,0,32,0,32,346441,918
balanced,B_p99p9,99.9,58,1,1,1,45,192,3,0,0,0,0,24366,26016768,3616762,26016768,391320,150266880,0,32,0,32,461100,1309
