first_gamma,later_gamma_low,later_gamma_high,S,R,shot,syndrome_converged,logical_action_match,logically_correct,selected_weight,iterations,first_leg_iterations,legs,solutions,first_leg_success,rescued
0.0,-0.24,0.66,1,8,25,1,1,1,272.6594027270874,130,80,2,1,False,True
0.0,-0.24,0.66,1,8,26,1,1,1,328.9392997256548,111,80,2,1,False,True
0.0,-0.24,0.66,1,8,27,1,1,1,285.97836000052786,136,80,2,1,False,True
0.0,-0.24,0.66,1,8,28,0,1,0,,500,80,8,0,False,False
0.0,-0.24,0.66,1,8,29,1,1,1,358.42710381061477,109,80,2,1,False,True
0.0,-0.24,0.66,1,8,30,1,1,1,381.2000547456911,113,80,2,1,False,True
0.0,-0.24,0.66,1,8,31,1,1,1,275.3124962264201,35,35,1,1,True,False
0.0,-0.24,0.66,1,8,32,1,1,1,365.50875940219794,172,80,3,1,False,True
0.0,-0.24,0.66,1,8,33,1,1,1,398.1735913862553,134,80,2,1,False,True
0.0,-0.24,0.66,1,8,34,1,1,1,371.85530877758947,240,80,4,1,False,True
0.0,-0.24,0.66,1,8,35,1,1,1,486.68339885182775,223,80,4,1,False,True
0.0,-0.24,0.66,1,8,36,1,1,1,477.64660918741225,174,80,3,1,False,True
0.0,-0.24,0.66,1,8,37,0,0,0,,500,80,8,0,False,False
0.0,-0.24,0.66,1,8,38,1,1,1,437.92444259241205,464,80,8,1,False,True
0.0,-0.24,0.66,1,8,39,1,1,1,399.63955823300114,104,80,2,1,False,True
0.0,-0.24,0.66,1,8,40,1,1,1,322.0494654711864,95,80,2,1,False,True
0.0,-0.24,0.66,1,8,41,1,1,1,237.28590645567897,96,80,2,1,False,True
0.0,-0.24,0.66,1,8,42,1,1,1,378.2015278151079,139,80,2,1,False,True
0.0,-0.24,0.66,1,8,43,1,1,1,343.65623670706134,92,80,2,1,False,True
0.0,-0.24,0.66,1,8,44,1,1,1,408.75713258547785,77,77,1,1,True,False
0.0,-0.24,0.66,1,8,45,1,1,1,287.71508399258437,341,80,6,1,False,True
0.0,-0.24,0.66,1,8,46,1,1,1,454.45989084231985,290,80,5,1,False,True
0.0,-0.24,0.66,1,8,47,1,1,1,317.9390187451212,101,80,2,1,False,True
0.0,-0.24,0.66,1,8,48,1,1,1,385.9657560089157,309,80,5,1,False,True
0.0,-0.24,0.66,1,8,49,1,1,1,372.9305688032215,217,80,4,1,False,True
0.0,-0.24,0.66,1,8,50,0,0,0,,500,80,8,0,False,False
0.0,-0.24,0.66,1,8,51,1,1,1,319.6492577322905,165,80,3,1,False,True
0.0,-0.24,0.66,1,8,52,1,1,1,260.88452008411275,58,58,1,1,True,False
0.0,-0.24,0.66,1,8,53,1,1,1,396.54214378673976,287,80,5,1,False,True
0.0,-0.24,0.66,1,8,54,1,1,1,447.8202041827426,98,80,2,1,False,True
0.0,-0.24,0.66,1,8,55,1,1,1,448.7273317807109,160,80,3,1,False,True
0.0,-0.24,0.66,1,8,56,1,1,1,356.3267606226549,111,80,2,1,False,True
0.0,-0.24,0.66,1,8,57,1,1,1,351.90490178238804,101,80,2,1,False,True
0.0,-0.24,0.66,1,8,58,1,1,1,357.64810045257786,133,80,2,1,False,True
0.0,-0.24,0.66,1,8,59,1,1,1,530.5591047822154,168,80,3,1,False,True
0.0,-0.24,0.66,1,8,60,1,1,1,303.20296854616174,73,73,1,1,True,False
0.0,-0.24,0.66,1,8,61,1,1,1,434.72320694328266,224,80,4,1,False,True
0.0,-0.24,0.66,1,8,62,1,1,1,405.1372717097297,159,80,3,1,False,True
0.0,-0.24,0.66,1,8,63,1,1,1,404.65378692721674,164,80,3,1,False,True
