sample_seed,shot,engine,decoder_seed,iterations,relay_legs,syndrome_converged,logically_correct,syndrome_valid_logical_error,selected_weight
20260809,20,2,2009126,74,1,1,1,0,295.8497901266065
20260809,20,3,3009129,74,1,1,1,0,295.8497901266065
20260809,21,0,9121,26,1,1,1,0,271.03848372018774
20260809,21,1,1009124,26,1,1,1,0,271.03848372018774
20260809,21,2,2009127,26,1,1,1,0,271.03848372018774
20260809,21,3,3009130,26,1,1,1,0,271.03848372018774
20260809,22,0,9122,40,1,1,1,0,320.50100238223763
20260809,22,1,1009125,40,1,1,1,0,320.50100238223763
20260809,22,2,2009128,40,1,1,1,0,320.50100238223763
20260809,22,3,3009131,40,1,1,1,0,320.50100238223763
20260809,23,0,9123,124,2,1,1,0,393.1846833831027
20260809,23,1,1009126,104,2,1,1,0,361.61414460354587
20260809,23,2,2009129,110,2,1,1,0,369.1471384004809
20260809,23,3,3009132,105,2,1,1,0,385.08059268994833
20260809,24,0,9124,105,2,1,1,0,285.0291211855315
20260809,24,1,1009127,110,2,1,1,0,302.1250628702652
20260809,24,2,2009130,103,2,1,1,0,305.98318668042185
20260809,24,3,3009133,103,2,1,1,0,313.7406187847243
20260809,25,0,9125,130,2,1,1,0,246.70671112961878
20260809,25,1,1009128,107,2,1,1,0,241.53312498562178
20260809,25,2,2009131,161,3,1,1,0,269.6106076017446
20260809,25,3,3009134,96,2,1,1,0,255.2037962494494
20260809,26,0,9126,116,2,1,1,0,318.2584366727333
20260809,26,1,1009129,114,2,1,1,0,286.69860079797127
20260809,26,2,2009132,109,2,1,1,0,287.9507638121396
20260809,26,3,3009135,97,2,1,1,0,283.0738492423677
20260809,27,0,9127,95,2,1,1,0,270.1321048618944
20260809,27,1,1009130,98,2,1,1,0,272.75752123033897
20260809,27,2,2009133,114,2,1,1,0,304.6954415640229
20260809,27,3,3009136,110,2,1,1,0,267.5920405459714
20260809,28,0,9128,188,3,1,1,0,366.1333077894509
20260809,28,1,1009131,351,6,1,1,0,365.77267889341215
20260809,28,2,2009134,109,2,1,1,0,341.7593065559538
20260809,28,3,3009137,112,2,1,1,0,349.66953583998037
20260809,29,0,9129,112,2,1,1,0,337.9075387194328
20260809,29,1,1009132,100,2,1,1,0,341.4469379014879
20260809,29,2,2009135,113,2,1,1,0,334.8075741933545
20260809,29,3,3009138,121,2,1,1,0,332.6251591084333
20260809,30,0,9130,56,1,1,1,0,335.8874928717877
20260809,30,1,1009133,56,1,1,1,0,335.8874928717877
20260809,30,2,2009136,56,1,1,1,0,335.8874928717877
20260809,30,3,3009139,56,1,1,1,0,335.8874928717877
20260809,31,0,9131,22,1,1,1,0,275.3124962264201
20260809,31,1,1009134,22,1,1,1,0,275.3124962264201
20260809,31,2,2009137,22,1,1,1,0,275.3124962264201
20260809,31,3,3009140,22,1,1,1,0,275.3124962264201
20260809,32,0,9132,52,1,1,1,0,334.1424512311711
20260809,32,1,1009135,52,1,1,1,0,334.1424512311711
20260809,32,2,2009138,52,1,1,1,0,334.1424512311711
20260809,32,3,3009141,52,1,1,1,0,334.1424512311711
20260809,33,0,9133,228,4,1,1,0,363.7156943478983
20260809,33,1,1009136,166,3,1,1,0,379.84400733252966
20260809,33,2,2009139,96,2,1,1,0,349.11384534613273
20260809,33,3,3009142,117,2,1,1,0,350.83682831716965
20260809,34,0,9134,460,8,1,1,0,344.7447198147221
20260809,34,1,1009137,232,4,1,1,0,395.35882424604836
20260809,34,2,2009140,372,6,1,1,0,382.60057353714126
20260809,34,3,3009143,221,4,1,1,0,324.7137341638276
20260809,35,0,9135,64,1,1,1,0,412.50528973540565
